Time,A_Temp,A_AccX,A_AccY,A_AccZ,A_GyroX,A_GyroY,A_GyroZ,A_AccAngX,A_AccAngY,A_AngleX,A_AngleY,A_AngleZ;B_Temp,B_AccX,B_AccY,B_AccZ,B_GyroX,B_GyroY,B_GyroZ,B_AccAngX,B_AccAngY,B_AngleX,B_AngleY,B_AngleZ
Uptime 00:00:05, 23.52,  0.14,  0.05,  0.97,  0.62, -1.18, -5.13,  2.95,  8.19, -0.21,-18.99,-44.05; 30.58,  0.09,  0.00,  1.01,  0.54, -2.36,  1.03,  0.20,  5.10, -0.55,-11.05,  4.01
Uptime 00:00:05, 23.47,  0.17,  0.05,  0.93, -0.89, -3.27, -2.01,  3.19, 10.48, -0.24,-19.21,-44.30; 30.58,  0.13,  0.00,  1.00, -1.26, -0.04,  1.64,  0.20,  7.31, -0.69,-10.98,  4.21
Uptime 00:00:05, 23.52,  0.13,  0.05,  0.97, -0.69,  2.01, -3.36,  2.99,  7.65, -0.26,-18.74,-44.72; 30.58,  0.07, -0.00,  1.02,  1.86, -1.57,  1.12, -0.20,  4.04, -0.45,-11.03,  4.35
Uptime 00:00:05, 23.56,  0.18,  0.05,  0.94, -2.65, -1.14, -1.08,  3.23, 10.92, -0.54,-18.73,-44.86; 30.58,  0.14, -0.01,  1.00, -0.83, -0.64,  1.04, -0.40,  7.96, -0.56,-11.06,  4.49
Uptime 00:00:05, 23.42,  0.12,  0.05,  1.00, -2.33,  2.28, -3.37,  2.81,  6.78, -0.76,-18.21,-45.28; 30.62,  0.05,  0.00,  1.04,  2.38, -2.44,  0.60,  0.11,  2.55, -0.26,-11.19,  4.57
Uptime 00:00:05, 23.56,  0.22,  0.03,  1.02, -0.84,-10.77, -2.39,  1.54, 12.44, -0.82,-19.43,-45.59; 30.58,  0.16, -0.04,  1.01,  0.22, -6.27,  3.24, -2.16,  8.94, -0.27,-11.92,  4.97
Uptime 00:00:05, 23.47,  0.19,  0.05,  0.94, -1.20, 24.85, -3.92,  3.24, 11.41, -0.89,-16.15,-46.09; 30.72,  0.15,  0.02,  1.00,  4.88, 10.61, -3.03,  1.03,  8.56,  0.37,-10.52,  4.59
Uptime 00:00:05, 23.52,  0.09,  0.06,  0.96, -4.02,  4.89, -3.94,  3.83,  5.30, -1.29,-15.33,-46.58; 30.62,  0.11,  0.04,  0.99,  6.02,  2.81, -5.54,  2.24,  6.13,  1.15,-10.08,  3.89
Uptime 00:00:06, 23.47,  0.07,  0.01,  0.97, -0.52,  2.12, -8.59,  0.49,  4.38, -1.32,-14.84,-47.68; 30.72,  0.06,  0.01,  0.99, -2.49, -0.91, -5.75,  0.62,  3.48,  0.83,-10.07,  3.15
Uptime 00:00:06, 23.61,  0.12, -0.01,  1.00, -1.10,  5.54, -1.11, -0.60,  6.79, -1.44,-14.00,-47.82; 30.72,  0.04, -0.02,  1.00,  0.10,  1.83, -1.87, -1.35,  2.51,  0.80, -9.69,  2.92
